image, method, ite, acc, alpha, beta
000001_000006, GCmax-DT-w10, 2, 0.7071, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 3, 0.9486, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 4, 0.6548, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 5, 0.9715, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 6, 0.9883, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 7, 0.9349, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 8, 0.9635, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 9, 0.9686, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 10, 0.9863, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 11, 0.9799, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 12, 0.9887, 0.100000, -1.000000
000001_000006, GCmax-DT-w10, 13, 0.9891, 0.100000, -1.000000
000001_000006, GCmax-DT-w7, 1, 0.0000, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 2, 0.7071, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 3, 0.8911, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 4, 0.9251, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 5, 0.9117, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 6, 0.9612, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 7, 0.9850, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 8, 0.9798, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 9, 0.9899, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 10, 0.9788, -1.000000, -1.000000
000001_000006, GCmax-DT-w7, 11, 0.9914, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 1, 0.0000, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 2, 0.7071, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 3, 0.9490, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 4, 0.5942, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 5, 0.9679, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 6, 0.9871, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 7, 0.9337, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 8, 0.9639, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 9, 0.9833, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 10, 0.9663, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 11, 0.9744, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 12, 0.9629, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 13, 0.9825, -1.000000, -1.000000
000001_000006, GCmax-DT-w11, 14, 0.9923, -1.000000, -1.000000
000001_000006, GCmax-DT-w8, 1, 0.0000, -1.000000, -1.000000
000001_000006, GCmax-DT-w8, 2, 0.7071, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 3, 0.8945, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 4, 0.9426, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 5, 0.9638, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 6, 0.9810, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 7, 0.9887, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 8, 0.9601, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 9, 0.9681, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 10, 0.9783, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 11, 0.9805, 0.200000, -1.000000
000001_000006, GCmax-DT-w8, 12, 0.9911, 0.200000, -1.000000
000001_000006, GCmax-DT-w12, 1, 0.0000, -1.000000, -1.000000
000001_000006, GCmax-DT-w12, 2, 0.7071, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 3, 0.9489, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 4, 0.9720, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 5, 0.9881, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 6, 0.9321, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 7, 0.9646, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 8, 0.9858, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 9, 0.9696, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 10, 0.9775, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 11, 0.9859, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 12, 0.9887, 0.100000, -1.000000
000001_000006, GCmax-DT-w12, 13, 0.9913, 0.100000, -1.000000
000001_000018, GCmax-w1, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-w1, 2, 0.3710, -1.000000, -1.000000
000001_000018, GCmax-w1, 3, 0.3904, -1.000000, -1.000000
000001_000018, GCmax-w1, 4, 0.3907, -1.000000, -1.000000
000001_000018, GCmax-w1, 5, 0.4381, -1.000000, -1.000000
000001_000018, GCmax-w1, 6, 0.4382, -1.000000, -1.000000
000001_000018, GCmax-w1, 7, 0.4748, -1.000000, -1.000000
000001_000018, GCmax-w1, 8, 0.6910, -1.000000, -1.000000
000001_000018, GCmax-w1, 9, 0.7488, -1.000000, -1.000000
000001_000018, GCmax-w1, 10, 0.8029, -1.000000, -1.000000
000001_000018, GCmax-w1, 11, 0.8464, -1.000000, -1.000000
000001_000018, GCmax-w1, 12, 0.8569, -1.000000, -1.000000
000001_000018, GCmax-w1, 13, 0.9332, -1.000000, -1.000000
000001_000018, GCmax-w1, 14, 0.9499, -1.000000, -1.000000
000001_000018, GCmax-w1, 15, 0.8524, -1.000000, -1.000000
000001_000018, GCmax-w1, 16, 0.9466, -1.000000, -1.000000
000001_000018, GCsum-w3, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCsum-w3, 2, 0.3710, -1.000000, -1.000000
000001_000018, GCsum-w3, 3, 0.3900, -1.000000, -1.000000
000001_000018, GCsum-w3, 4, 0.4209, -1.000000, -1.000000
000001_000018, GCsum-w3, 5, 0.4213, -1.000000, -1.000000
000001_000018, GCsum-w3, 6, 0.4214, -1.000000, -1.000000
000001_000018, GCsum-w3, 7, 0.4412, -1.000000, -1.000000
000001_000018, GCsum-w3, 8, 0.4637, -1.000000, -1.000000
000001_000018, GCsum-w3, 9, 0.4709, -1.000000, -1.000000
000001_000018, GCsum-w3, 10, 0.5157, -1.000000, -1.000000
000001_000018, GCsum-w3, 11, 0.6046, -1.000000, -1.000000
000001_000018, GCsum-w3, 12, 0.6626, -1.000000, -1.000000
000001_000018, GCsum-w3, 13, 0.7049, -1.000000, -1.000000
000001_000018, GCsum-w3, 14, 0.8538, -1.000000, -1.000000
000001_000018, GCsum-w3, 15, 0.9115, -1.000000, -1.000000
000001_000018, GCsum-w3, 16, 0.9237, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 2, 0.3710, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 3, 0.3902, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 4, 0.4370, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 5, 0.5076, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 6, 0.6595, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 7, 0.6886, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 8, 0.7051, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 9, 0.7539, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 10, 0.8109, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 11, 0.8250, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 12, 0.8587, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 13, 0.8696, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 14, 0.9068, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 15, 0.8485, -1.000000, -1.000000
000001_000018, GCmax-DT-w5, 16, 0.9167, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 2, 0.3710, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 3, 0.3900, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 4, 0.7340, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 5, 0.8698, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 6, 0.4661, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 7, 0.6249, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 8, 0.7829, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 9, 0.9124, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 10, 0.9287, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 11, 0.9174, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 12, 0.9661, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 13, 0.9363, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 14, 0.9681, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 15, 0.9644, -1.000000, -1.000000
000001_000018, GCmax-DT-w9, 16, 0.9733, -1.000000, -1.000000
000001_000018, GCmax-w2, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-w2, 2, 0.3710, 0.250000, -1.000000
000001_000018, GCmax-w2, 3, 0.4595, 0.250000, -1.000000
000001_000018, GCmax-w2, 4, 0.6892, 0.250000, -1.000000
000001_000018, GCmax-w2, 5, 0.8786, 0.250000, -1.000000
000001_000018, GCmax-w2, 6, 0.8789, 0.250000, -1.000000
000001_000018, GCmax-w2, 7, 0.8971, 0.250000, -1.000000
000001_000018, GCmax-w2, 8, 0.9000, 0.250000, -1.000000
000001_000018, GCmax-w2, 9, 0.9484, 0.250000, -1.000000
000001_000018, GCmax-w2, 10, 0.9506, 0.250000, -1.000000
000001_000018, GCmax-w2, 11, 0.9615, 0.250000, -1.000000
000001_000018, GCmax-w2, 12, 0.9759, 0.250000, -1.000000
000001_000018, GCmax-w2, 13, 0.9809, 0.250000, -1.000000
000001_000018, GCmax-w2, 14, 0.9833, 0.250000, -1.000000
000001_000018, GCmax-w2, 15, 0.9837, 0.250000, -1.000000
000001_000018, GCmax-w2, 16, 0.9862, 0.250000, -1.000000
000001_000018, GCsum-w4, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCsum-w4, 2, 0.3710, 0.100000, 70.000000
000001_000018, GCsum-w4, 3, 0.4877, 0.100000, 70.000000
000001_000018, GCsum-w4, 4, 0.6434, 0.100000, 70.000000
000001_000018, GCsum-w4, 5, 0.7894, 0.100000, 70.000000
000001_000018, GCsum-w4, 6, 0.9383, 0.100000, 70.000000
000001_000018, GCsum-w4, 7, 0.9515, 0.100000, 70.000000
000001_000018, GCsum-w4, 8, 0.8667, 0.100000, 70.000000
000001_000018, GCsum-w4, 9, 0.9587, 0.100000, 70.000000
000001_000018, GCsum-w4, 10, 0.9607, 0.100000, 70.000000
000001_000018, GCsum-w4, 11, 0.9701, 0.100000, 70.000000
000001_000018, GCsum-w4, 12, 0.9721, 0.100000, 70.000000
000001_000018, GCsum-w4, 13, 0.9030, 0.100000, 70.000000
000001_000018, GCsum-w4, 14, 0.9033, 0.100000, 70.000000
000001_000018, GCsum-w4, 15, 0.9731, 0.100000, 70.000000
000001_000018, GCsum-w4, 16, 0.9802, 0.100000, 70.000000
000001_000018, GCmax-DT-w6, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w6, 2, 0.3710, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 3, 0.3902, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 4, 0.4371, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 5, 0.5166, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 6, 0.6602, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 7, 0.6893, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 8, 0.6977, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 9, 0.7553, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 10, 0.7639, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 11, 0.8437, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 12, 0.9083, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 13, 0.9391, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 14, 0.9556, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 15, 0.9266, 0.200000, -1.000000
000001_000018, GCmax-DT-w6, 16, 0.9566, 0.200000, -1.000000
000001_000018, GCmax-DT-w10, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w10, 2, 0.3710, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 3, 0.3900, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 4, 0.8826, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 5, 0.4303, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 6, 0.6122, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 7, 0.7028, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 8, 0.8492, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 9, 0.9168, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 10, 0.9147, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 11, 0.9520, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 12, 0.7667, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 13, 0.8690, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 14, 0.9607, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 15, 0.9730, 0.100000, -1.000000
000001_000018, GCmax-DT-w10, 16, 0.9076, 0.100000, -1.000000
000001_000018, GCmax-DT-w7, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 2, 0.3710, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 3, 0.3902, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 4, 0.4370, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 5, 0.5076, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 6, 0.6595, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 7, 0.6886, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 8, 0.7049, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 9, 0.7537, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 10, 0.8109, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 11, 0.8240, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 12, 0.8576, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 13, 0.8685, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 14, 0.9069, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 15, 0.8484, -1.000000, -1.000000
000001_000018, GCmax-DT-w7, 16, 0.9168, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 2, 0.3710, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 3, 0.3900, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 4, 0.8835, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 5, 0.4295, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 6, 0.4346, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 7, 0.5105, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 8, 0.7523, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 9, 0.9324, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 10, 0.9542, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 11, 0.9671, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 12, 0.9234, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 13, 0.9579, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 14, 0.9511, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 15, 0.9712, -1.000000, -1.000000
000001_000018, GCmax-DT-w11, 16, 0.9800, -1.000000, -1.000000
000001_000018, GCmax-DT-w8, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w8, 2, 0.3710, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 3, 0.3902, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 4, 0.4371, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 5, 0.5139, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 6, 0.6606, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 7, 0.6898, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 8, 0.6977, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 9, 0.7553, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 10, 0.7639, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 11, 0.8438, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 12, 0.9222, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 13, 0.9535, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 14, 0.9234, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 15, 0.9543, 0.200000, -1.000000
000001_000018, GCmax-DT-w8, 16, 0.9655, 0.200000, -1.000000
000001_000018, GCmax-DT-w12, 1, 0.0000, -1.000000, -1.000000
000001_000018, GCmax-DT-w12, 2, 0.3710, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 3, 0.3900, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 4, 0.8837, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 5, 0.5172, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 6, 0.7952, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 7, 0.8907, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 8, 0.9208, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 9, 0.8815, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 10, 0.7638, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 11, 0.7955, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 12, 0.9850, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 13, 0.9793, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 14, 0.9856, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 15, 0.9417, 0.100000, -1.000000
000001_000018, GCmax-DT-w12, 16, 0.9864, 0.100000, -1.000000
000001_000020, GCmax-w1, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-w1, 2, 0.2733, -1.000000, -1.000000
000001_000020, GCmax-w1, 3, 0.4106, -1.000000, -1.000000
000001_000020, GCmax-w1, 4, 0.8556, -1.000000, -1.000000
000001_000020, GCmax-w1, 5, 0.8812, -1.000000, -1.000000
000001_000020, GCmax-w1, 6, 0.9191, -1.000000, -1.000000
000001_000020, GCmax-w1, 7, 0.9234, -1.000000, -1.000000
000001_000020, GCmax-w1, 8, 0.9289, -1.000000, -1.000000
000001_000020, GCmax-w1, 9, 0.9393, -1.000000, -1.000000
000001_000020, GCmax-w1, 10, 0.9469, -1.000000, -1.000000
000001_000020, GCmax-w1, 11, 0.9240, -1.000000, -1.000000
000001_000020, GCmax-w1, 12, 0.9578, -1.000000, -1.000000
000001_000020, GCmax-w1, 13, 0.9582, -1.000000, -1.000000
000001_000020, GCmax-w1, 14, 0.9641, -1.000000, -1.000000
000001_000020, GCmax-w1, 15, 0.9674, -1.000000, -1.000000
000001_000020, GCmax-w1, 16, 0.9711, -1.000000, -1.000000
000001_000020, GCsum-w3, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCsum-w3, 2, 0.2733, -1.000000, -1.000000
000001_000020, GCsum-w3, 3, 0.2734, -1.000000, -1.000000
000001_000020, GCsum-w3, 4, 0.2743, -1.000000, -1.000000
000001_000020, GCsum-w3, 5, 0.2759, -1.000000, -1.000000
000001_000020, GCsum-w3, 6, 0.3701, -1.000000, -1.000000
000001_000020, GCsum-w3, 7, 0.3702, -1.000000, -1.000000
000001_000020, GCsum-w3, 8, 0.9374, -1.000000, -1.000000
000001_000020, GCsum-w3, 9, 0.9437, -1.000000, -1.000000
000001_000020, GCsum-w3, 10, 0.9454, -1.000000, -1.000000
000001_000020, GCsum-w3, 11, 0.9567, -1.000000, -1.000000
000001_000020, GCsum-w3, 12, 0.9600, -1.000000, -1.000000
000001_000020, GCsum-w3, 13, 0.9623, -1.000000, -1.000000
000001_000020, GCsum-w3, 14, 0.9677, -1.000000, -1.000000
000001_000020, GCsum-w3, 15, 0.9694, -1.000000, -1.000000
000001_000020, GCsum-w3, 16, 0.9703, -1.000000, -1.000000
000001_000020, GCmax-DT-w5, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w5, 2, 0.2733, -1.000000, -1.000000
000001_000020, GCmax-DT-w5, 3, 0.9789, -1.000000, -1.000000
000001_000020, GCmax-DT-w9, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w9, 2, 0.2733, -1.000000, -1.000000
000001_000020, GCmax-DT-w9, 3, 0.9743, -1.000000, -1.000000
000001_000020, GCmax-w2, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-w2, 2, 0.2733, 0.250000, -1.000000
000001_000020, GCmax-w2, 3, 0.9856, 0.250000, -1.000000
000001_000020, GCsum-w4, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCsum-w4, 2, 0.2733, 0.100000, 70.000000
000001_000020, GCsum-w4, 3, 0.1336, 0.100000, 70.000000
000001_000020, GCsum-w4, 4, 0.1548, 0.100000, 70.000000
000001_000020, GCsum-w4, 5, 0.1763, 0.100000, 70.000000
000001_000020, GCsum-w4, 6, 0.1770, 0.100000, 70.000000
000001_000020, GCsum-w4, 7, 0.7902, 0.100000, 70.000000
000001_000020, GCsum-w4, 8, 0.8585, 0.100000, 70.000000
000001_000020, GCsum-w4, 9, 0.8694, 0.100000, 70.000000
000001_000020, GCsum-w4, 10, 0.8731, 0.100000, 70.000000
000001_000020, GCsum-w4, 11, 0.8966, 0.100000, 70.000000
000001_000020, GCsum-w4, 12, 0.9251, 0.100000, 70.000000
000001_000020, GCsum-w4, 13, 0.9428, 0.100000, 70.000000
000001_000020, GCsum-w4, 14, 0.9565, 0.100000, 70.000000
000001_000020, GCsum-w4, 15, 0.9610, 0.100000, 70.000000
000001_000020, GCsum-w4, 16, 0.9683, 0.100000, 70.000000
000001_000020, GCmax-DT-w6, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w6, 2, 0.2733, 0.200000, -1.000000
000001_000020, GCmax-DT-w6, 3, 0.9831, 0.200000, -1.000000
000001_000020, GCmax-DT-w10, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w10, 2, 0.2733, 0.100000, -1.000000
000001_000020, GCmax-DT-w10, 3, 0.9829, 0.100000, -1.000000
000001_000020, GCmax-DT-w7, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w7, 2, 0.2733, -1.000000, -1.000000
000001_000020, GCmax-DT-w7, 3, 0.9791, -1.000000, -1.000000
000001_000020, GCmax-DT-w11, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w11, 2, 0.2733, -1.000000, -1.000000
000001_000020, GCmax-DT-w11, 3, 0.9753, -1.000000, -1.000000
000001_000020, GCmax-DT-w11, 4, 0.3245, -1.000000, -1.000000
000001_000020, GCmax-DT-w11, 5, 0.5612, -1.000000, -1.000000
000001_000020, GCmax-DT-w11, 6, 0.8710, -1.000000, -1.000000
000001_000020, GCmax-DT-w11, 7, 0.9770, -1.000000, -1.000000
000001_000020, GCmax-DT-w8, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w8, 2, 0.2733, 0.200000, -1.000000
000001_000020, GCmax-DT-w8, 3, 0.9832, 0.200000, -1.000000
000001_000020, GCmax-DT-w12, 1, 0.0000, -1.000000, -1.000000
000001_000020, GCmax-DT-w12, 2, 0.2733, 0.100000, -1.000000
000001_000020, GCmax-DT-w12, 3, 0.9831, 0.100000, -1.000000
000001_000024, GCmax-w1, 1, 0.0000, -1.000000, -1.000000
000001_000024, GCmax-w1, 2, 0.5399, -1.000000, -1.000000
000001_000024, GCmax-w1, 3, 0.4784, -1.000000, -1.000000
000001_000024, GCmax-w1, 4, 0.6674, -1.000000, -1.000000
000001_000024, GCmax-w1, 5, 0.6739, -1.000000, -1.000000
000001_000024, GCmax-w1, 6, 0.8061, -1.000000, -1.000000
000001_000024, GCmax-w1, 7, 0.8299, -1.000000, -1.000000
000001_000024, GCmax-w1, 8, 0.8300, -1.000000, -1.000000
000001_000024, GCmax-w1, 9, 0.8308, -1.000000, -1.000000
000001_000024, GCmax-w1, 10, 0.8315, -1.000000, -1.000000
000001_000024, GCmax-w1, 11, 0.8377, -1.000000, -1.000000
000001_000024, GCmax-w1, 12, 0.8386, -1.000000, -1.000000
000001_000024, GCmax-w1, 13, 0.8611, -1.000000, -1.000000
000001_000024, GCmax-w1, 14, 0.9146, -1.000000, -1.000000
000001_000024, GCmax-w1, 15, 0.9233, -1.000000, -1.000000
000001_000024, GCmax-w1, 16, 0.9263, -1.000000, -1.000000
000001_000024, GCsum-w3, 1, 0.0000, -1.000000, -1.000000
000001_000024, GCsum-w3, 2, 0.5399, -1.000000, -1.000000
000001_000024, GCsum-w3, 3, 0.0155, -1.000000, -1.000000
000001_000024, GCsum-w3, 4, 0.0158, -1.000000, -1.000000
000001_000024, GCsum-w3, 5, 0.0164, -1.000000, -1.000000
000001_000024, GCsum-w3, 6, 0.0364, -1.000000, -1.000000
000001_000024, GCsum-w3, 7, 0.0367, -1.000000, -1.000000
000001_000024, GCsum-w3, 8, 0.0371, -1.000000, -1.000000
000001_000024, GCsum-w3, 9, 0.0372, -1.000000, -1.000000
000001_000024, GCsum-w3, 10, 0.0457, -1.000000, -1.000000
000001_000024, GCsum-w3, 11, 0.0690, -1.000000, -1.000000
000001_000024, GCsum-w3, 12, 0.0701, -1.000000, -1.000000
000001_000024, GCsum-w3, 13, 0.0745, -1.000000, -1.000000
000001_000024, GCsum-w3, 14, 0.4621, -1.000000, -1.000000
000001_000024, GCsum-w3, 15, 0.7871, -1.000000, -1.000000
000001_000024, GCsum-w3, 16, 0.8696, -1.000000, -1.000000
000001_000024, GCmax-DT-w5, 1, 0.0000, -1.000000, -1.000000
000001_000024, GCmax-DT-w5, 2, 0.5399, -1.000000, -1.000000
000001_000024, GCmax-DT-w5, 3, 0.9638, -1.000000, -1.000000
000001_000024, GCmax-DT-w5, 4, 0.9577, -1.000000, -1.000000
000001_000024, GCmax-DT-w5, 5, 0.9742, -1.000000, -1.000000
000001_000024, GCmax-DT-w5, 6, 0.9861, -1.000000, -1.000000
000001_000024, GCmax-DT-w5, 7, 0.9919, -1.000000, -1.000000
000001_000024, GCmax-DT-w9, 1, 0.0000, -1.000000, -1.000000
000001_000024, GCmax-DT-w9, 2, 0.5399, -1.000000, -1.000000
000001_000024, GCmax-DT-w9, 3, 0.9652, -1.000000, -1.000000
000001_000024, GCmax-DT-w9, 4, 0.9583, -1.000000, -1.000000
000001_000024, GCmax-DT-w9, 5, 0.9866, -1.000000, -1.000000
000001_000024, GCmax-DT-w9, 6, 0.9913, -1.000000, -1.000000
000001_000024, GCmax-w2, 1, 0.0000, -1.000000, -1.000000
